"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.950901500E0,1.699765490E-2,1.594917605E-2,-8.090207577E-3,2.467281799E-2
1.960895500E0,5.236430123E-2,2.267524648E-2,-1.859648466E-2,6.001679839E-2
1.970888500E0,2.720296483E-2,1.267694626E-3,-3.856063306E-2,4.720731689E-2
1.980882500E0,-3.117435716E-2,-9.511839291E-3,-2.935477674E-2,4.386363583E-2
1.990875500E0,-2.976219976E-2,3.592601473E-2,6.790371537E-3,4.714420659E-2
2.000869500E0,1.453599721E-1,3.096382816E-1,-6.303298473E-2,3.478197006E-1
2.010862500E0,-1.793514447E-1,-9.875762684E-2,-2.262925082E-1,3.051693118E-1
2.020856500E0,-2.773451328E-1,-2.209888644E-1,1.662456965E-1,3.916555023E-1
2.030850500E0,6.643719714E-2,1.771624116E-3,2.327004719E-1,2.420052674E-1
2.040843500E0,5.497298168E-2,4.824988053E-2,-3.943479180E-2,8.309742770E-2
2.050837500E0,-9.929800093E-2,2.040183077E-2,-1.147019058E-1,1.530779373E-1
2.060830500E0,-4.535544483E-2,8.696174635E-2,-7.122201025E-2,1.212107109E-1
2.070824500E0,-4.032296559E-2,3.442274127E-4,-7.705928564E-2,8.697237234E-2
2.080818500E0,-6.996646687E-2,-6.344161374E-2,1.848480284E-2,9.623841633E-2
2.090811500E0,8.555898104E-2,-2.420336148E-2,6.817853451E-2,1.120466622E-1
2.100805500E0,1.095876752E-1,2.342248410E-3,2.257025242E-2,1.119122915E-1
2.110798500E0,-4.544437733E-3,2.208137037E-2,-4.867631614E-2,5.364347663E-2
2.120792500E0,-9.375131389E-2,6.919375733E-3,-5.722611487E-2,1.100545994E-1
2.130786500E0,-2.557378437E-2,3.619048247E-2,-3.800690174E-5,4.431445490E-2
2.140779500E0,8.962495208E-2,1.515711587E-2,1.509341776E-2,9.214218066E-2
2.150773500E0,6.022449397E-3,-3.169017294E-3,3.877873421E-3,7.832654059E-3
2.160766500E0,-7.020232894E-2,-2.022694420E-2,-8.980738521E-3,7.360808328E-2
2.170760500E0,-8.842451870E-4,1.049472883E-2,-1.872863173E-2,2.148680687E-2
2.180754500E0,-8.033032771E-3,2.693798547E-2,-3.148082435E-2,4.220458480E-2
2.190747500E0,-5.024252940E-2,3.821520880E-4,-2.307896018E-3,5.029695999E-2
2.200741500E0,-2.388909191E-2,-3.956676529E-2,2.918930054E-3,4.631131374E-2
2.210734500E0,-6.847655978E-3,-6.612561364E-3,2.610197067E-3,9.870637716E-3
2.220728500E0,-9.539257251E-3,-6.042165477E-3,-2.599672079E-2,2.834315939E-2
2.230722500E0,-1.618768763E-2,6.340099387E-3,-4.473704696E-3,1.795138225E-2
2.240715500E0,-1.983799472E-2,2.090096371E-2,-7.058174014E-3,2.966840304E-2
2.250709500E0,-5.833898619E-2,-4.060471002E-3,-1.098282516E-2,5.950249728E-2
2.260702500E0,-2.727210816E-2,-2.541642118E-2,9.659600258E-3,3.851065082E-2
2.270696500E0,5.205008648E-3,-3.307788167E-3,1.205754340E-2,1.354318760E-2
2.280690500E0,4.975980520E-4,1.337328569E-2,-1.422042847E-3,1.345788170E-2
2.290683500E0,-7.089858614E-3,1.638606356E-2,-1.145878851E-2,2.121492419E-2
2.300677500E0,-1.821256014E-2,2.580922617E-2,-1.057527423E-2,3.331140836E-2
2.310670500E0,-5.353783742E-3,-2.422519717E-3,4.964286089E-4,5.897291200E-3
2.320664500E0,-4.983070269E-3,-1.865766115E-2,2.761055231E-3,1.950801720E-2
2.330657500E0,1.604468666E-2,9.225261770E-4,2.514302731E-4,1.607315283E-2
2.340651500E0,3.998640351E-2,1.127159539E-2,-2.864550948E-3,4.164333056E-2
2.350645500E0,4.269508962E-2,4.878825378E-3,-1.496828735E-2,4.550520015E-2
2.360638500E0,-4.059758373E-3,3.749408266E-3,7.058758736E-3,8.964696050E-3
2.370632500E0,-4.147411790E-3,2.979951231E-3,1.517060101E-2,1.600713181E-2
2.380625500E0,6.955445744E-4,5.773485918E-3,-5.239105225E-4,5.838784474E-3
2.390619500E0,-8.966705203E-4,2.542807907E-3,-9.933249950E-3,1.029268404E-2
2.400613500E0,1.707255408E-2,6.508745877E-3,8.817601204E-4,1.829244042E-2
2.410606500E0,3.748660918E-2,2.520207505E-2,1.812636852E-5,4.517068500E-2
2.420600500E0,-2.902482932E-2,3.126673403E-2,-5.939016938E-3,4.307344073E-2
2.430593500E0,-1.065127341E-1,-3.653258113E-3,2.274566889E-4,1.065756096E-1
2.440587500E0,-8.936997693E-2,-1.769203003E-2,-4.362256765E-2,1.010095496E-1
2.450581500E0,-5.886801302E-2,3.119545282E-2,-5.112045228E-2,8.397559095E-2
2.460574500E0,-3.587062150E-2,4.680106840E-2,-1.834797800E-2,6.175507904E-2
2.470568500E0,9.336358868E-4,1.013856945E-2,1.548342705E-3,1.029852570E-2
2.480561500E0,-6.189716309E-3,-2.072481634E-2,-2.258077741E-2,3.126854823E-2
2.490555500E0,-1.911935365E-2,-1.743543777E-2,-7.650496960E-3,2.698285155E-2
2.500549500E0,2.114640059E-2,-1.498116950E-2,-2.738251090E-3,2.605961850E-2
2.510542500E0,3.989794610E-2,-1.304135570E-2,2.328478217E-2,4.800108480E-2
2.520536500E0,-3.138392502E-2,-1.982754283E-3,4.095974565E-3,3.171212815E-2
2.530529500E0,-1.002962668E-1,-3.365383241E-3,-6.415565014E-3,1.005575776E-1
2.540523500E0,-1.049792836E-1,-2.191792242E-5,-1.348718762E-2,1.058421215E-1
2.550517500E0,-3.651344977E-2,9.059328754E-3,-1.771238565E-2,4.158163125E-2
2.560510500E0,-1.320831198E-3,1.323943927E-2,-1.176050484E-2,1.775772568E-2
2.570504500E0,5.294065397E-2,1.969834677E-2,-1.734459579E-2,5.908953132E-2
2.580497500E0,3.548815878E-2,1.324937040E-2,-3.312155306E-2,5.031890805E-2
2.590491500E0,2.896845851E-2,-9.762492981E-3,-3.393314660E-2,4.567205158E-2
2.600485500E0,1.829310553E-2,8.516031057E-3,-5.236766338E-3,2.084668359E-2
2.610478500E0,1.941385232E-2,2.216438256E-2,1.168273687E-3,2.948766487E-2
2.620472500E0,1.191116201E-2,-1.392898131E-2,-6.665825844E-5,1.832748603E-2
2.630465500E0,-1.387434639E-3,-1.785535008E-2,4.911661148E-5,1.790924101E-2
2.640459500E0,1.152904646E-2,2.632834928E-2,1.123717904E-2,3.086057487E-2
